DATE_TIME,DAILY_YIELD
2020-05-16 15:45:00,131875.910714
2020-05-16 16:00:00,133816.767858
2020-05-16 16:15:00,135491.982143
2020-05-16 16:30:00,136983.553572
2020-05-16 16:45:00,138270.83928299998
2020-05-16 17:00:00,139414.285714
2020-05-16 17:15:00,140379.071428
2020-05-16 17:30:00,141132.160715
2020-05-16 17:45:00,141650.196429
2020-05-16 18:00:00,141954.464285
2020-05-16 18:15:00,142092.64285499998
2020-05-16 18:30:00,142114.0
2020-05-16 18:45:00,142114.0
2020-05-16 19:00:00,142114.0
2020-05-16 19:15:00,142114.0
2020-05-16 19:30:00,142114.0
2020-05-16 19:45:00,142114.0
2020-05-16 20:00:00,142114.0
2020-05-16 20:15:00,142114.0
2020-05-16 20:30:00,142114.0
2020-05-16 20:45:00,142114.0
2020-05-16 21:00:00,142114.0
2020-05-16 21:15:00,142114.0
2020-05-16 21:30:00,142114.0
2020-05-16 21:45:00,142114.0
2020-05-16 22:00:00,142114.0
2020-05-16 22:15:00,142114.0
2020-05-16 22:30:00,142114.0
2020-05-16 22:45:00,142114.0
2020-05-16 23:00:00,142114.0
2020-05-16 23:15:00,142114.0
2020-05-16 23:30:00,142114.0
2020-05-16 23:45:00,130779.0
2020-05-17 00:00:00,4908.0
2020-05-17 00:15:00,0.0
2020-05-17 00:30:00,0.0
2020-05-17 00:45:00,0.0
2020-05-17 01:00:00,0.0
2020-05-17 01:15:00,0.0
2020-05-17 01:30:00,0.0
2020-05-17 01:45:00,0.0
2020-05-17 02:00:00,0.0
2020-05-17 02:15:00,0.0
2020-05-17 02:30:00,0.0
2020-05-17 02:45:00,0.0
2020-05-17 03:00:00,0.0
2020-05-17 03:15:00,0.0
2020-05-17 03:30:00,0.0
2020-05-17 03:45:00,0.0
2020-05-17 04:00:00,0.0
2020-05-17 04:15:00,0.0
2020-05-17 04:30:00,0.0
2020-05-17 04:45:00,0.0
2020-05-17 05:00:00,0.0
2020-05-17 05:15:00,0.0
2020-05-17 05:30:00,0.0
2020-05-17 05:45:00,0.0
2020-05-17 06:00:00,0.125
2020-05-17 06:15:00,24.142857143999997
2020-05-17 06:30:00,165.89285714100004
2020-05-17 06:45:00,504.10714285
2020-05-17 07:00:00,1116.8571428600003
2020-05-17 07:15:00,2154.24999996
2020-05-17 07:30:00,3483.3392857
2020-05-17 07:45:00,5414.482142700001
2020-05-17 08:00:00,8076.8214284999995
2020-05-17 08:15:00,10794.6607142
2020-05-17 08:30:00,13581.0535714
2020-05-17 08:45:00,17065.3035716
2020-05-17 09:00:00,21327.767857
2020-05-17 09:15:00,24857.035714
2020-05-17 09:30:00,29155.642857
2020-05-17 09:45:00,34038.017856000006
2020-05-17 10:00:00,39706.446427999996
2020-05-17 10:15:00,44739.875000000015
2020-05-17 10:30:00,50157.589286
2020-05-17 10:45:00,56142.678572
2020-05-17 11:00:00,61854.62499999999
2020-05-17 11:15:00,68351.964285
2020-05-17 11:30:00,75207.964286
2020-05-17 11:45:00,81300.02975999999
2020-05-17 12:00:00,86055.96428700001
2020-05-17 12:15:00,91072.142857
2020-05-17 12:30:00,96224.946429
2020-05-17 12:45:00,101040.589286
2020-05-17 13:00:00,106043.5
2020-05-17 13:15:00,108532.285716
2020-05-17 13:30:00,113827.071428
2020-05-17 13:45:00,118395.12499899999
2020-05-17 14:00:00,123746.142857
2020-05-17 14:15:00,127161.410715
2020-05-17 14:30:00,129928.267858
2020-05-17 14:45:00,133314.035715
2020-05-17 15:00:00,138772.0
2020-05-17 15:15:00,143098.803571
2020-05-17 15:30:00,147282.589284
2020-05-17 15:45:00,150319.96428299998
2020-05-17 16:00:00,153352.696429
2020-05-17 16:15:00,156142.577382
2020-05-17 16:30:00,158513.749999
2020-05-17 16:45:00,160702.178571
2020-05-17 17:00:00,162235.892856
2020-05-17 17:15:00,163210.642856
2020-05-17 17:30:00,164033.76785799998
2020-05-17 17:45:00,164656.30357
2020-05-17 18:00:00,164965.053571
